id,name,segment_ids,description,part_of
0000166,UP14,TRL21003;TRL21004;TRL21005;TRL21006;TRL21007;TRL21009;TRL21130;TRL21131;TRL21149;TRL21150;TRL21151;TRL21152;TRL21153;TRL21154;TRL21155;TRL21156;TRL21157;TRL21158;TRL21163;TRL21173;TRL21174;TRL21179;TRL21099;TRL21575;TRL21578;TRL21760,,
0000172,UP16,TRL21220;TRL21221;TRL21222,,
0000186,UP310,TRL21001;TRL21008,,
0000187,UP32,TRL21038;TRL21087,,
0000194,UP417,TRL21170;TRL21932;TRL21933;TRL21934;TRL22248;TRL22252;TRL22257;TRL22260;TRL22261;TRL22281;TRL22647;TRL22648;TRL22649;TRL22662;TRL22671;TRL22672;TRL22673;TRL22694;TRL22697;TRL22698;TRL22758;TRL22761;TRL22762;TRL23651,,
0000239,UP5,TRL21013;TRL21020;TRL21030;TRL21039;TRL21040;TRL21159;TRL21160;TRL21212;TRL21217;TRL21218;TRL21219;TRL21220;TRL21533,,
0000245,UP8,TRL21010;TRL21011;TRL21012;TRL21013;TRL21017;TRL21018;TRL21019;TRL21021;TRL21022;TRL21023;TRL21024;TRL21025;TRL21026;TRL21027;TRL21028;TRL21029;TRL21031;TRL21032;TRL21034;TRL21035;TRL21041;TRL21047;TRL21085;TRL21161;TRL21225;TRL21226;TRL21227;TRL21228;TRL21229;TRL21230;TRL21850;TRL21893;TRL21894;TRL21938;TRL21939,,
0000262,Flacks Lake Pathway,TRL21919;TRL21920;TRL21924;TRL21925,,
0000174,UP18,TRL21086;TRL21171;TRL21172,,
0000188,UP33,TRL21036;TRL21037;TRL21162;TRL21178;TRL23664,,
0000248,UP82,TRL21180,,
SFPW090,Anderson Lake Pathway,TRL21910;TRL21911;TRL21912;TRL21913;TRL21914;TRL21915;TRL21916;TRL21917;TRL21918;TRL21921;TRL21922;TRL21923;TRL21926;TRL21927;TRL21928,"6+ miles, bike, ski, camp",
0000358,Iron Ore Heritage Trail,TRL21021;TRL21179;TRL21180;TRL21212;TRL21228;TRL21229;TRL21268;TRL21301;TRL21302;TRL21303;TRL21305;TRL21311;TRL21312;TRL21313;TRL21314;TRL21315;TRL21316;TRL21322;TRL21326;TRL21352;TRL21760;TRL21821;TRL21829;TRL21848;TRL21849;TRL21850;TRL21891;TRL21892;TRL21894;TRL23569;TRL23573;TRL23574;TRL23575;TRL23576;TRL23577;TRL23578;TRL23579;TRL23580,,
0000386,Laughing Whitefish State Park - Laughing Whitefish Trail,TRL21203;TRL21929;TRL21931,,
0000402,Lower Baraga Lake,TRL21141,,
0000481,North Country Trail,TRL21054;TRL21056;TRL21057;TRL21058;TRL21095;TRL21096;TRL21097;TRL21098;TRL21100;TRL21105;TRL21106;TRL21107;TRL21108;TRL21109;TRL21110;TRL21111;TRL21116;TRL21117;TRL21118;TRL21119;TRL21120;TRL21121;TRL21124;TRL21126;TRL21129;TRL21131;TRL21132;TRL21133;TRL21139;TRL21144;TRL21145;TRL21146;TRL21147;TRL21197;TRL21198;TRL21534;TRL21535;TRL21550;TRL21554;TRL21617;TRL21643;TRL21644;TRL21652;TRL21655;TRL21656;TRL21660;TRL21661;TRL21662;TRL21669;TRL21671;TRL21672;TRL21678;TRL21679;TRL21685;TRL21686;TRL21696;TRL21707;TRL21711;TRL21713;TRL21715;TRL21717;TRL21718;TRL21719;TRL21777;TRL21778;TRL21779;TRL21780;TRL21782;TRL21785;TRL21821;TRL21822;TRL21823;TRL21824;TRL21829;TRL21932;TRL21933;TRL21934;TRL21937;TRL22769;TRL22770;TRL23569;TRL23570;TRL23573;TRL23574;TRL23575;TRL23576;TRL23577;TRL23578;TRL23579;TRL23580;TRL23610;TRL23659;TRL23660;TRL23661,,
SFPW089,Tyoga Historical Pathway,TRL21940;TRL21941,"1.4 miles, hike, bike",
0000754,Van Riper State Park - Foot Trail,TRL21863;TRL21864;TRL21865;TRL21867;TRL22765;TRL22766;TRL22767,,
SPTR189,Van Riper State Park - Miners Loop,TRL21201;TRL21866,,
SPTR188,Van Riper State Park - Old Wagon Road Trail,TRL21193,,
SPTR190,Van Riper State Park - River Trail,TRL21852;TRL21853;TRL21854;TRL21855;TRL21856;TRL21857;TRL21858;TRL21859;TRL21851;TRL21861;TRL21862,,
0000802,West Branch Pathway,TRL21175,,
0000804,White Deer Lake,TRL21140;TRL21556,,
0000873,Craig Lake State Park - Clair Lake Trail,TRL21183,,
